Disaster_Event_Id,Alert_Level,Alert_Score,Episode_Alert_Level,Episode_Alert_Score,Country,From_Date,To_Date,Severity,Source,Iso3,Event_Type,Death,Displaced,GDACS_ID,,,,
FL_MOZ_20000126_2,Orange,2,Orange,2,Mozambique,1/26/2000,3/27/2000,7.74,DFO,MOZ,FL,929,733000,FL 1583,,,,
FL_PHL_20000128_3,Green,1,Green,1,Philippines,1/28/2000,2/1/2000,4.92,DFO,PHL,FL,23,20000,FL 1584,,,,
FL_AGO_20000108_4,Green,1,Green,1,Angola,1/8/2000,1/15/2000,5.58,DFO,AGO,FL,31,70000,FL 1582,,,,
FL_UNK_20000101_5,Orange,2,Orange,2,Brazil,1/1/2000,1/1/2000,6.55,DFO,BRA,FL,40,100000,FL 1581,,,,
FL_MOZ_20000126_6,Orange,2,Orange,2,Mozambique,1/26/2000,3/27/2000,7.74,DFO,MOZ,FL,929,733000,FL 1583,,,,
FL_MDG_20000217_7,Red,3,Red,3,Madagascar,2/17/2000,3/11/2000,6.79,DFO,MDG,FL,200,800000,FL 1587,,,,
FL_AUS_20000218_8,Green,1,Green,1,Australia,2/18/2000,3/1/2000,7.09,DFO,AUS,FL,1,200,FL 1586,,,,
FL_USA_20000218_9,Green,1,Green,1,Usa,2/18/2000,2/22/2000,5.44,DFO,USA,FL,8,40,FL 1585,,,,
FL_PHL_20000128_10,Green,1,Green,1,Philippines,1/28/2000,2/1/2000,4.92,DFO,PHL,FL,23,20000,FL 1584,,,,
FL_USA_20000329_11,Green,1,Green,1,Usa,3/29/2000,3/31/2000,4.86,DFO,USA,FL,3,0,FL 1594,,,,
FL_MOZ_20000126_12,Orange,2,Orange,2,Mozambique,1/26/2000,3/27/2000,7.74,DFO,MOZ,FL,929,733000,FL 1583,,,,
FL_ARG_20000309_13,Green,1,Green,1,Argentina,3/9/2000,3/17/2000,6.85,DFO,ARG,FL,7,15000,FL 1591,,,,
FL_CZE_20000309_14,Green,1,Green,1,Central African Republic,3/9/2000,3/11/2000,4.69,DFO,CAF,FL,2,0,FL 1592,,,,
FL_AUS_20000306_15,Green,1,Green,1,Australia,3/6/2000,3/11/2000,6.51,DFO,AUS,FL,1,0,FL 1590,,,,
FL_MDG_20000217_16,Red,3,Red,3,Madagascar,2/17/2000,3/11/2000,6.79,DFO,MDG,FL,200,800000,FL 1587,,,,
FL_UNK_20000309_17,Green,1,Green,1,South Africa,3/9/2000,3/9/2000,5.54,DFO,ZAF,FL,14,0,FL 1593,,,,
FL_KHM_20000303_18,Green,1,Green,1,Cambodia,3/3/2000,3/4/2000,4.39,DFO,KHM,FL,3,0,FL 1588,,,,
FL_ZMB_20000303_19,Green,1,Green,1,Zambia,3/3/2000,3/4/2000,4.54,DFO,ZMB,FL,0,12000,FL 1589,,,,
FL_AUS_20000218_20,Green,1,Green,1,Australia,2/18/2000,3/1/2000,7.09,DFO,AUS,FL,1,200,FL 1586,,,,
FL_ROU_20000405_21,Green,1,Green,1,Romania,4/5/2000,4/25/2000,6.69,DFO,ROU,FL,10,623,FL 1595,,,,
FL_CHN_20000413_22,Green,1,Green,1,China,4/13/2000,4/17/2000,5.02,DFO,CHN,FL,15,0,FL 1596,,,,
FL_BGD_20000527_23,Green,1,Green,1,Bangladesh,5/27/2000,6/19/2000,5.99,DFO,BGD,FL,36,10000,FL 1603,,,,
FL_CHN_20000531_24,Green,1,Green,1,China,5/31/2000,6/19/2000,6.66,DFO,CHN,FL,94,8725,FL 1605,,,,
FL_VNM_20000531_25,Green,1,Green,1,Viet Nam,5/31/2000,6/2/2000,4.06,DFO,VNM,FL,0,0,FL 1604,,,,
FL_UNK_20000516_26,Orange,2,Orange,2,Timor-Leste,5/16/2000,5/24/2000,5.31,DFO,TLS,FL,126,15000,FL 1600,,,,
FL_COL_20000518_27,Green,1,Green,1,Colombia,5/18/2000,5/24/2000,6.15,DFO,COL,FL,9,67500,FL 1601,,,,
FL_UNK_20000518_28,Green,1,Green,1,Türkiye,5/18/2000,5/18/2000,5.08,DFO,TUR,FL,2,0,FL 1602,,,,
FL_UNK_20000518_29,Orange,2,Orange,2,Philippines,5/18/2000,5/18/2000,5.18,DFO,PHL,FL,6,112000,FL 1599,,,,
FL_USA_20000506_30,Green,1,Green,1,Usa,5/6/2000,5/9/2000,5.78,DFO,USA,FL,3,1200,FL 1597,,,,
FL_UNK_20000501_31,Green,1,Green,1,Somalia,5/1/2000,5/1/2000,6.14,DFO,SOM,FL,0,3500,FL 1598,,,,
FL_CHN_20000617_32,Green,1,Green,1,China,6/17/2000,6/30/2000,6.03,DFO,CHN,FL,18,31000,FL 1610,,,,
FL_UNK_20000630_33,Orange,2,Orange,2,China,6/30/2000,6/30/2000,6.07,DFO,CHN,FL,65,88000,FL 1613,,,,
FL_BGD_20000619_34,Green,1,Green,1,Bangladesh,6/19/2000,6/26/2000,5.43,DFO,BGD,FL,14,20000,FL 1611,,,,
FL_GTM_20000606_35,Green,1,Green,1,Guatemala,6/6/2000,6/21/2000,5.27,DFO,GTM,FL,16,2600,FL 1609,,,,
FL_BGD_20000527_36,Green,1,Green,1,Bangladesh,5/27/2000,6/19/2000,5.99,DFO,BGD,FL,36,10000,FL 1603,,,,
FL_CHN_20000531_37,Green,1,Green,1,China,5/31/2000,6/19/2000,6.66,DFO,CHN,FL,94,8725,FL 1605,,,,
FL_CHL_20000605_38,Green,1,Green,1,Chile,6/5/2000,6/16/2000,6.31,DFO,CHL,FL,0,41000,FL 1607,,,,
FL_UNK_20000610_39,Green,1,Green,1,India,6/10/2000,6/10/2000,5.89,DFO,IND,FL,30,50000,FL 1606,,,,
FL_COL_20000605_40,Green,1,Green,1,Colombia,6/5/2000,6/7/2000,4.89,DFO,COL,FL,0,0,FL 1608,,,,
FL_VNM_20000531_41,Green,1,Green,1,Viet Nam,5/31/2000,6/2/2000,4.06,DFO,VNM,FL,0,0,FL 1604,,,,
FL_BRA_20000730_42,Orange,2,Orange,2,Brazil,7/30/2000,8/17/2000,5.96,DFO,BRA,FL,70,120000,FL 1618,,,,
FL_THA_20000711_43,Green,1,Green,1,Thailand,7/11/2000,8/10/2000,6.57,DFO,THA,FL,33,25000,FL 1614,,,,
FL_RUS_20000730_44,Green,1,Green,1,Russia,7/30/2000,8/6/2000,6.19,DFO,RUS,FL,0,24000,FL 1619,,,,
FL_IND_20000731_45,Orange,2,Orange,2,India,7/31/2000,8/4/2000,4.79,DFO,IND,FL,140,4000,FL 1616,,,,
FL_UNK_20000717_46,Orange,2,Orange,2,India,7/17/2000,7/17/2000,6.18,DFO,IND,FL,140,0,FL 1615,,,,
FL_UNK_20000704_47,Red,3,Red,3,Japan,7/4/2000,7/4/2000,4.91,DFO,JPN,FL,45,800000,FL 1612,,,,
FL_UNK_20000704_47,Red,3,Red,3,Philippines,7/4/2000,7/4/2000,4.91,DFO,PHL,FL,45,800000,FL 1612,,,,
FL_IND_20000829_48,Orange,2,Orange,2,India,8/29/2000,9/14/2000,6.58,DFO,IND,FL,578,0,FL 1626,,,,
