Disaster_Event_Id,Alert_Level,Alert_Score,Episode_Alert_Level,Episode_Alert_Score,Country,From_Date,To_Date,Severity,Source,Iso3,Event_Type,GDACS_ID,People_Affected,Duration (days),Burned_Area
WF_LAO_20210223_2,Green,1,GREEN,1,Laos,2/23/2021,3/23/2021,5070,GWIS,LAO,WF,WF 1000144,0,28,5070 hectare
WF_IND_20210225_3,Green,1,GREEN,1,India,2/25/2021,3/11/2021,9866,GWIS,IND,WF,WF 1000128,35445,14,9866 hectare
WF_ARG_20210225_4,Green,1,GREEN,1,Argentina,2/25/2021,3/8/2021,5326,GWIS,ARG,WF,WF 1000127,0,11,5326 hectare
WF_MMR_20210223_5,Green,1,GREEN,1,Myanmar,2/23/2021,3/8/2021,5353,GWIS,MMR,WF,WF 1000143,0,13,5353 hectare
WF_IND_20210223_6,Green,1,GREEN,1,India,2/23/2021,3/7/2021,7572,GWIS,IND,WF,WF 1000142,8550,12,7572 hectare
WF_IND_20210220_7,Green,1,GREEN,1,India,2/20/2021,3/7/2021,5330,GWIS,IND,WF,WF 1000154,0,15,5330 hectare
WF_IND_20210219_8,Green,1,GREEN,1,India,2/19/2021,3/7/2021,65662,GWIS,IND,WF,WF 1000156,95313,16,65662 hectare
WF_IND_20210224_9,Green,1,GREEN,1,India,2/24/2021,3/7/2021,21008,GWIS,IND,WF,WF 1000136,0,11,21008 hectare
WF_IND_20210223_10,Green,1,GREEN,1,India,2/23/2021,3/7/2021,8178,GWIS,IND,WF,WF 1000145,0,12,8178 hectare
WF_IND_20210227_11,Green,1,GREEN,1,India,2/27/2021,3/7/2021,10690,GWIS,IND,WF,WF 1000107,56605,8,10690 hectare
WF_IND_20210226_12,Green,1,GREEN,1,India,2/26/2021,3/7/2021,7088,GWIS,IND,WF,WF 1000118,0,9,7088 hectare
WF_IND_20210226_13,Green,1,GREEN,1,India,2/26/2021,3/7/2021,9668,GWIS,IND,WF,WF 1000121,0,9,9668 hectare
WF_IND_20210226_14,Green,1,GREEN,1,India,2/26/2021,3/7/2021,15691,GWIS,IND,WF,WF 1000122,5342,9,15691 hectare
WF_IND_20210227_15,Green,1,GREEN,1,India,2/27/2021,3/7/2021,7068,GWIS,IND,WF,WF 1000109,20453,8,7068 hectare
WF_IND_20210227_16,Green,1,GREEN,1,India,2/27/2021,3/7/2021,5391,GWIS,IND,WF,WF 1000110,0,8,5391 hectare
WF_IND_20210226_17,Green,1,GREEN,1,India,2/26/2021,3/7/2021,6185,GWIS,IND,WF,WF 1000111,0,9,6185 hectare
WF_IND_20210226_18,Green,1,GREEN,1,India,2/26/2021,3/7/2021,5879,GWIS,IND,WF,WF 1000112,3,9,5879 hectare
WF_IND_20210226_19,Green,1,GREEN,1,India,2/26/2021,3/7/2021,5377,GWIS,IND,WF,WF 1000113,185,9,5377 hectare
WF_IND_20210226_20,Green,1,GREEN,1,India,2/26/2021,3/7/2021,24499,GWIS,IND,WF,WF 1000114,14839,9,24499 hectare
WF_IND_20210226_21,Green,1,GREEN,1,India,2/26/2021,3/5/2021,5040,GWIS,IND,WF,WF 1000115,0,7,5040 hectare
WF_IND_20210226_22,Green,1,GREEN,1,India,2/26/2021,3/5/2021,5122,GWIS,IND,WF,WF 1000116,3470,7,5122 hectare
