Disaster_Event_Id,Alert_Level,Alert_Score,Episode_Alert_Level,Episode_Alert_Score,Country,From_Date,To_Date,Severity,Source,Iso3,Event_Type,GDACS _ID,Name,Volcano_Number,Volcano_Explosivity_Index,Population_Exposure_Index,Population_Effected
VO_UNK_20110920_2,Green,1,Green,0,Canada,9/20/2011,9/20/2011,0,MONTREAL,CAN,VO,VO 360,Iskut-Unuk River Cones,320090,Non-explosive,Uninhabited / Remote,0
VO_UNK_20111028_3,Green,1,Green,0,Chile-S,10/28/2011,10/28/2011,0,BUENOS AIRES,   ,VO,VO 484,"Hudson, Cerro",358057,Non-explosive,Uninhabited / Remote,0
VO_UNK_20111230_4,Green,1,Green,0,Vanuatu-SW Pacific,12/30/2011,12/30/2011,0,WELLINGTON,   ,VO,VO 103,Yasur,257100,Non-explosive,Uninhabited / Remote,0
VO_UNK_20120130_5,Green,1,Green,0,Mariana Is-C Pacific,1/30/2012,1/30/2012,0,WASHINGTON,   ,VO,VO 253,Pagan,284170,Non-explosive,Uninhabited / Remote,0
VO_UNK_20120228_6,Orange,2,Orange,2,Halmahera-Indonesia,2/28/2012,2/28/2012,0,DARWIN,   ,VO,VO 178,Dukono,268010,Non-explosive,Uninhabited / Remote,0
VO_UNK_20120324_7,Green,1,Green,0,W Indies,3/24/2012,3/24/2012,0,WASHINGTON,   ,VO,VO 491,Soufri¨re Hills,360050,Non-explosive,Uninhabited / Remote,0
VO_UNK_20120725_8,Red,3,Red,3,Sumatra,7/25/2012,7/25/2012,0,DARWIN,   ,VO,VO 117,Kerinci,261170,Non-explosive,Uninhabited / Remote,0
VO_UNK_20121129_9,Green,1,Green,1,Kamchatka,11/29/2012,11/29/2012,0,TOKYO,   ,VO,VO 312,Tolbachik,300240,Non-explosive,Uninhabited / Remote,0
VO_UNK_20121228_10,Green,1,Green,0,Nicaragua,12/28/2012,12/28/2012,0,WASHINGTON,NIC,VO,VO 408,San CristÃ³bal,344020,Non-explosive,Uninhabited / Remote,0
VO_UNK_20130129_11,Green,1,Green,0,MÃ©xico,1/29/2013,1/29/2013,0,WASHINGTON,   ,VO,VO 389,Colima,341040,Non-explosive,Uninhabited / Remote,0
VO_UNK_20130123_12,Green,1,Green,0,Chile-C,1/23/2013,1/23/2013,0,BUENOS AIRES,   ,VO,VO 476,CarrÃ¡n-Los Venados,357140,Non-explosive,Uninhabited / Remote,0
VO_UNK_20130330_13,Green,1,Green,1,Guatemala,3/30/2013,3/30/2013,0,WASHINGTON,GTM,VO,VO 399,Fuego,342090,Non-explosive,Uninhabited / Remote,0
VO_UNK_20130329_14,Green,1,Green,0,Kuril Is,3/29/2013,3/29/2013,0,TOKYO,   ,VO,VO 272,Grozny Group,290070,Non-explosive,Uninhabited / Remote,0
VO_UNK_20130328_15,Green,1,Green,0,Chile-C,3/28/2013,3/28/2013,0,BUENOS AIRES,   ,VO,VO 469,Callaqui,357091,Non-explosive,Uninhabited / Remote,0
VO_UNK_20130628_16,Green,1,Green,1,Kamchatka,6/28/2013,6/28/2013,0,TOKYO,   ,VO,VO 316,Shiveluch,300270,Non-explosive,Uninhabited / Remote,0
VO_UNK_20130627_17,Green,1,Green,0,Alaska Peninsula,6/27/2013,6/27/2013,0,ANCHORAGE,   ,VO,VO 343,Pavlof,312030,Non-explosive,Uninhabited / Remote,0
VO_UNK_20130622_18,Orange,2,Orange,2,New Guinea-NE of,6/22/2013,6/22/2013,0,DARWIN,   ,VO,VO 75,Manam,251020,Non-explosive,Uninhabited / Remote,0
VO_IDN_20171126_19,Orange,2,Orange,1.9,Indonesia,11/26/2017,11/26/2017,0,VAAC,IDN,VO,VO 509,Agung,264020,Non-explosive,Uninhabited / Remote,0
VO_USA_20180504_20,Orange,2,Orange,1.5,United States,5/4/2018,5/28/2018,0,VAAC,USA,VO,VO 511,Kilauea,332010,Non-explosive,Uninhabited / Remote,0
VO_IDN_20190611_21,Green,1,Green,0.5,Indonesia,6/11/2019,8/14/2020,0,DARWIN,IDN,VO,VO 261080,Sinabung,261080,Explosive,Very high exposure,8200000
VO_PER_20190617_22,Green,1,Green,0.5,Peru,6/17/2019,6/29/2020,0,BUENOS AIRES,PER,VO,VO 354006,Sabancaya,354006,Severe,Moderate exposure,1090000
VO_PNG_20190618_23,Green,1,Green,0.5,Papua New Guinea,6/18/2019,3/27/2020,0,JRC,PNG,VO,VO 251020,Manam,251020,Cataclysmic,Moderate exposure,200000
VO_REU_20190611_24,Green,1,Green,0.5,France,6/11/2019,10/25/2019,0,TOULOUSE,FRA,VO,VO 233020,"Fournaise, Piton de la",233020,Paroxysmal,Very high exposure,850000
VO_PNG_20190627_25,Green,1,Green,0.5,Papua New Guinea,6/27/2019,10/1/2019,0,DARWIN,PNG,VO,VO 252120,Ulawun,252120,Cataclysmic,Low exposure,87000
VO_ITA_20190719_26,Green,1,Green,0.5,Italy,7/19/2019,8/28/2020,0,TOULOUSE,ITA,VO,VO 211060,Etna,211060,Paroxysmal,Very high exposure,2750000
VO_ITA_20190703_28,Green,1,Green,0.5,Italy,7/3/2019,7/20/2020,0,JRC,ITA,VO,VO 211040,Stromboli,211040,Severe,Moderate exposure,1000000
VO_MEX_20190726_31,Green,1,Green,0.5,Mexico,7/26/2019,2/23/2020,0,WASHINGTON,MEX,VO,VO 341090,Popocatepetl,341090,Paroxysmal,Very high exposure,27990000
