disaster_id,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,GDACS ID,Duration,Impact
DR_DEU_20170721_2,"Green Drought in Germany, Denmark, France, Latvia, Poland, Sweden from: 21 Jul 2017  to: 09 Feb 2019 .",Green,1,Green,0.25,"Germany, Denmark, France, Latvia, Poland, Sweden",7/21/2017,2019-02-09T15:07:00,80936,GDO,DEU,DR,DR 1012168,569 days (at 18 Feb 2019),Minor impact for agricultural drought in 80936 km2
DR_UZB_20171121_7,Green Drought in Uzbekistan from: 21 Nov 2017  to: 06 Sep 2018 .,Green,1,Green,0.75,Uzbekistan,11/21/2017,2018-09-06T09:57:00,18686,GDO,UZB,DR,DR 1012172,289 days (at 15 Sep 2018),Minor impact for agricultural drought in 18686 km2
DR_BRA_20171221_9,Green Drought in Brazil from: 21 Dec 2017  to: 06 Sep 2018 .,Green,1,Green,0.5,Brazil,12/21/2017,2018-09-06T09:57:00,87604,GDO,BRA,DR,DR 1012174,259 days (at 15 Sep 2018),Minor impact for agricultural drought in 87604 km2
DR_AUS_20180221_15,Orange Drought in Australia from: 21 Feb 2018  to: 24 Nov 2018 .,Orange,2,Orange,1,Australia,2/21/2018,2018-11-24T16:27:00,142608,GDO,AUS,DR,DR 1012191,277 days (at 23 Dec 2018),Medium impact for agricultural drought in 142608 km2
DR_MDG_20180321_20,Orange Drought in Madagascar from: 21 Mar 2018  to: 13 Sep 2018 .,Orange,2,Orange,1.5,Madagascar,3/21/2018,2018-09-13T13:57:00,68692,GDO,MDG,DR,DR 1012304,177 days (at 22 Sep 2018),Medium impact for agricultural drought in 68692 km2
DR_ALB_20180421_24,"Green Drought in Albania, Austria, Bosnia  and  Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine from: 21 Apr 2018  to: 24 Nov 2018 .",Green,1,Green,0.5,"Albania, Austria, Bosnia & Herzegovina, Bulgaria, Belarus, Greece, Croatia, Hungary, Kazakhstan, Moldova, Montenegro, Macedonia, Romania, Serbia, Russia, Slovenia, Slovakia, Türkiye, Ukraine",4/21/2018,2018-11-24T16:27:00,1677855,GDO,ALB,DR,DR 1012247,218 days (at 23 Dec 2018),Minor impact for agricultural drought in 1677855 km2
DR_ZAF_20180421_26,Green Drought in South Africa from: 21 Apr 2018  to: 10 Oct 2018 .,Green,1,Green,0.75,South Africa,4/21/2018,2018-10-10T08:17:00,52380,GDO,ZAF,DR,DR 1012219,172 days (at 19 Oct 2018),Minor impact for agricultural drought in 52380 km2
DR_IDN_20180421_30,Green Drought in Indonesia from: 21 Apr 2018  to: 29 Aug 2018 .,Green,1,Green,0.75,Indonesia,4/21/2018,2018-08-29T15:17:00,78469,GDO,IDN,DR,DR 1012212,131 days (at 28 Sep 2018),Minor impact for agricultural drought in 78469 km2
DR_BRA_20180521_32,Green Drought in Brazil from: 21 May 2018  to: 30 Dec 2018 .,Green,1,Green,0.75,Brazil,5/21/2018,2018-12-30T14:05:00,104035,GDO,BRA,DR,DR 1012396,224 days (at 29 Jan 2019),Minor impact for agricultural drought in 104035 km2
DR_USA_20180521_35,Green Drought in United States from: 21 May 2018  to: 28 Oct 2018 .,Green,1,Green,0.5,United States,5/21/2018,2018-10-28T15:37:00,229250,GDO,USA,DR,DR 1012604,161 days (at 27 Nov 2018),Minor impact for agricultural drought in 229250 km2
DR_GMB_20180521_36,"Green Drought in The Gambia, Guinea, Guinea-Bissau, Senegal from: 21 May 2018  to: 10 Oct 2018 .",Green,1,Green,0.75,"The Gambia, Guinea, Guinea-Bissau, Senegal",5/21/2018,2018-10-10T08:17:00,59944,GDO,GMB,DR,DR 1012255,142 days (at 19 Oct 2018),Minor impact for agricultural drought in 59944 km2
DR_BRA_20180511_38,Green Drought in Brazil from: 11 May 2018  to: 10 Oct 2018 .,Green,1,Green,0.25,Brazil,5/11/2018,2018-10-10T08:17:00,220613,GDO,BRA,DR,DR 1012244,152 days (at 19 Oct 2018),Minor impact for agricultural drought in 220613 km2
DR_USA_20180521_43,Green Drought in United States from: 21 May 2018  to: 20 Aug 2018 .,Green,1,Green,0.5,United States,5/21/2018,2018-08-20T10:37:15,41910,GDO,USA,DR,DR 1012333,91 days (at 29 Aug 2018),Minor impact for agricultural drought in 41910 km2
DR_CHN_20180621_44,"Orange Drought in China, India, Myanmar, Nepal from: 21 Jun 2018  to: 16 Feb 2019 .",Orange,2,Orange,1.5,"China, India, Myanmar, Nepal",6/21/2018,2019-02-16T15:47:00,106336,GDO,CHN,DR,DR 1012538,241 days (at 25 Feb 2019),Medium impact for agricultural drought in 106336 km2
DR_BGD_20180621_49,"Green Drought in Bangladesh, India, Myanmar, Nepal from: 21 Jun 2018  to: 16 Nov 2018 .",Green,1,Green,0.75,"Bangladesh, India, Myanmar, Nepal",6/21/2018,2018-11-16T15:57:00,485175,GDO,BGD,DR,DR 1012429,149 days (at 25 Nov 2018),Minor impact for agricultural drought in 485175 km2
DR_RUS_20180621_51,Green Drought in Russia from: 21 Jun 2018  to: 10 Oct 2018 .,Green,1,Green,0.25,Russia,6/21/2018,2018-10-10T08:17:00,150479,GDO,RUS,DR,DR 1012428,111 days (at 19 Oct 2018),Minor impact for agricultural drought in 150479 km2
DR_COD_20180621_55,"Green Drought in Congo, DRC from: 21 Jun 2018  to: 10 Oct 2018 .",Green,1,Green,0.5,"Congo, DRC",6/21/2018,2018-10-10T08:17:00,86129,GDO,COD,DR,DR 1012345,111 days (at 19 Oct 2018),Minor impact for agricultural drought in 86129 km2
DR_PHL_20180721_63,Green Drought in Philippines from: 21 Jul 2018  to: 26 Jan 2019 .,Green,1,Green,0.25,Philippines,7/21/2018,2019-01-26T17:07:00,44740,GDO,PHL,DR,DR 1012676,190 days (at 25 Feb 2019),Minor impact for agricultural drought in 44740 km2
DR_IND_20180721_64,"Orange Drought in India, Pakistan from: 21 Jul 2018  to: 30 Dec 2018 .",Orange,2,Orange,1.75,"India, Pakistan",7/21/2018,2018-12-30T14:05:00,113171,GDO,IND,DR,DR 1012498,163 days (at 29 Jan 2019),Medium impact for agricultural drought in 113171 km2
DR_MDG_20180721_68,Green Drought in Madagascar from: 21 Jul 2018  to: 24 Nov 2018 .,Green,1,Green,0.75,Madagascar,7/21/2018,2018-11-24T16:27:00,51870,GDO,MDG,DR,DR 1012433,127 days (at 23 Dec 2018),Minor impact for agricultural drought in 51870 km2
DR_CHN_20180721_69,Green Drought in China from: 21 Jul 2018  to: 24 Nov 2018 .,Green,1,Green,0.5,China,7/21/2018,2018-11-24T16:27:00,133152,GDO,CHN,DR,DR 1012452,127 days (at 23 Dec 2018),Minor impact for agricultural drought in 133152 km2
DR_MEX_20180721_72,Green Drought in Mexico from: 21 Jul 2018  to: 12 Oct 2018 .,Green,1,Green,0.75,Mexico,7/21/2018,2018-10-12T12:27:00,57097,GDO,MEX,DR,DR 1012447,84 days (at 21 Oct 2018),Minor impact for agricultural drought in 57097 km2
DR_CMR_20180721_74,"Green Drought in Cameroon, Equatorial Guinea from: 21 Jul 2018  to: 10 Oct 2018 .",Green,1,Green,0.25,"Cameroon, Equatorial Guinea",7/21/2018,2018-10-10T08:17:00,38879,GDO,CMR,DR,DR 1012448,81 days (at 19 Oct 2018),Minor impact for agricultural drought in 38879 km2
DR_GTM_20180721_80,"Orange Drought in Guatemala, Mexico from: 21 Jul 2018  to: 06 Sep 2018 .",Orange,2,Orange,1.5,"Guatemala, Mexico",7/21/2018,2018-09-06T09:57:00,35561,GDO,GTM,DR,DR 1012471,47 days (at 15 Sep 2018),Medium impact for agricultural drought in 35561 km2
DR_BLZ_20180721_83,"Orange Drought in Belize, Guatemala, Mexico from: 21 Jul 2018  to: 29 Aug 2018 .",Orange,2,Orange,1.5,"Belize, Guatemala, Mexico",7/21/2018,2018-08-29T15:17:00,113927,GDO,BLZ,DR,DR 1012475,40 days (at 28 Sep 2018),Medium impact for agricultural drought in 113927 km2
DR_KHM_20180821_88,"Orange Drought in Cambodia, Laos, Thailand, Vietnam from: 21 Aug 2018  to: 26 Jan 2019 .",Orange,2,Orange,1.25,"Cambodia, Laos, Thailand, Vietnam",8/21/2018,2019-01-26T17:07:00,178155,GDO,KHM,DR,DR 1012578,159 days (at 25 Feb 2019),Medium impact for agricultural drought in 178155 km2
DR_CAF_20180821_90,"Green Drought in Central African Republic, Chad from: 21 Aug 2018  to: 30 Dec 2018 .",Green,1,Green,0.75,"Central African Republic, Chad",8/21/2018,2018-12-30T14:05:00,97497,GDO,CAF,DR,DR 1012660,132 days (at 29 Jan 2019),Minor impact for agricultural drought in 97497 km2
DR_BLZ_20180821_91,"Green Drought in Belize, Guatemala, Honduras, Mexico from: 21 Aug 2018  to: 30 Dec 2018 .",Green,1,Green,0.5,"Belize, Guatemala, Honduras, Mexico",8/21/2018,2018-12-30T14:05:00,65060,GDO,BLZ,DR,DR 1012677,132 days (at 29 Jan 2019),Minor impact for agricultural drought in 65060 km2
DR_ECU_20180821_97,Green Drought in Ecuador from: 21 Aug 2018  to: 24 Nov 2018 .,Green,1,Green,0.5,Ecuador,8/21/2018,2018-11-24T16:27:00,54569,GDO,ECU,DR,DR 1012534,96 days (at 23 Dec 2018),Minor impact for agricultural drought in 54569 km2
DR_KGZ_20180821_101,"Green Drought in Kyrgyzstan, Kazakhstan, Tajikistan, Uzbekistan from: 21 Aug 2018  to: 19 Oct 2018 .",Green,1,Green,0.5,"Kyrgyzstan, Kazakhstan, Tajikistan, Uzbekistan",8/21/2018,2018-10-19T12:27:00,47602,GDO,KGZ,DR,DR 1012568,60 days (at 28 Oct 2018),Minor impact for agricultural drought in 47602 km2
DR_CHL_20180821_103,Green Drought in Chile from: 21 Aug 2018  to: 12 Oct 2018 .,Green,1,Green,0.25,Chile,8/21/2018,2018-10-12T12:27:00,28903,GDO,CHL,DR,DR 1012571,53 days (at 21 Oct 2018),Minor impact for agricultural drought in 28903 km2
DR_AFG_20180821_104,"Orange Drought in Afghanistan, Pakistan, Tajikistan from: 21 Aug 2018  to: 12 Oct 2018 .",Orange,2,Orange,1.5,"Afghanistan, Pakistan, Tajikistan",8/21/2018,2018-10-12T12:27:00,39891,GDO,AFG,DR,DR 1012536,53 days (at 21 Oct 2018),Medium impact for agricultural drought in 39891 km2
