disaster_id,coordinates,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,GDACS ID,Name,Exposed Population 100km,Max Volc. Explosivity Index VEI,Population Exposure Index PEI
VO_UNK_20110920_2,"[-130.55, 56.583333]",Green Eruption Iskut-Unuk River Cones in Canada at: 20 Sep 2011 18:00.,Green,1,Green,0,Canada,9/20/2011,2011-09-20T18:00:00,0,MONTREAL,   ,VO,VO 360,Iskut-Unuk River Cones (),No people affected,,
VO_UNK_20111028_3,"[-72.966666, -45.9]","Green Eruption Hudson, Cerro in Chile-S at: 28 Oct 2011 09:48.",Green,1,Green,0,Chile-S,10/28/2011,2011-10-28T09:48:00,0,BUENOS AIRES,   ,VO,VO 484,"Hudson, Cerro ()",No people affected,,
VO_UNK_20111230_4,"[169.441666, -19.533333]",Green Eruption Yasur in Vanuatu-SW Pacific at: 30 Dec 2011 18:00.,Green,1,Green,0,Vanuatu-SW Pacific,12/30/2011,2011-12-30T18:00:00,0,WELLINGTON,   ,VO,VO 103,Yasur (),No people affected,,
VO_UNK_20120130_5,"[145.8, 18.133333]",Green Eruption Pagan in Mariana Is-C Pacific at: 30 Jan 2012 07:31.,Green,1,Green,0,Mariana Is-C Pacific,1/30/2012,2012-01-30T07:31:00,0,WASHINGTON,   ,VO,VO 253,Pagan (),No people affected,,
VO_UNK_20120228_6,"[127.883333, 1.683333]",Orange Eruption Dukono in Halmahera-Indonesia at: 28 Feb 2012 04:30.,Orange,2,Orange,2,Halmahera-Indonesia,2/28/2012,2012-02-28T04:30:00,0,DARWIN,   ,VO,VO 178,Dukono (),No people affected,,
VO_UNK_20120324_7,"[-62.183333, 16.716666]",Green Eruption Soufrière Hills in W Indies at: 24 Mar 2012 19:45.,Green,1,Green,0,W Indies,3/24/2012,2012-03-24T19:45:00,0,WASHINGTON,   ,VO,VO 491,Soufrière Hills (),No people affected,,
VO_UNK_20120725_8,"[101.264444, -1.697222]",Red Eruption Kerinci in Sumatra at: 25 Jul 2012 02:03.,Red,3,Red,3,Sumatra,7/25/2012,2012-07-25T02:03:00,0,DARWIN,   ,VO,VO 117,Kerinci (),No people affected,,
VO_UNK_20121129_9,"[160.33, 55.83]",Green Eruption Tolbachik in Kamchatka at: 29 Nov 2012 17:15.,Green,1,Green,1,Kamchatka,11/29/2012,2012-11-29T17:15:00,0,TOKYO,   ,VO,VO 312,Tolbachik (),No people affected,,
VO_UNK_20121228_10,"[-87.003611, 12.701666]",Green Eruption San Cristóbal in Nicaragua at: 28 Dec 2012 21:15.,Green,1,Green,0,Nicaragua,12/28/2012,2012-12-28T21:15:00,0,WASHINGTON,   ,VO,VO 408,San Cristóbal (),No people affected,,
VO_UNK_20130129_11,"[-103.616666, 19.513888]",Green Eruption Colima in México at: 29 Jan 2013 14:45.,Green,1,Green,0,México,1/29/2013,2013-01-29T14:45:00,0,WASHINGTON,   ,VO,VO 389,Colima (),No people affected,,
VO_UNK_20130123_12,"[-72.066666, -40.35]",Green Eruption Carrán-Los Venados in Chile-C at: 23 Jan 2013 11:40.,Green,1,Green,0,Chile-C,1/23/2013,2013-01-23T11:40:00,0,BUENOS AIRES,   ,VO,VO 476,Carrán-Los Venados (),No people affected,,
VO_UNK_20130330_13,"[-90.880277, 14.472777]",Green Eruption Fuego in Guatemala at: 30 Mar 2013 19:45.,Green,1,Green,1,Guatemala,3/30/2013,2013-03-30T19:45:00,0,WASHINGTON,   ,VO,VO 399,Fuego (),No people affected,,
VO_UNK_20130329_14,"[147.921944, 45.026111]",Green Eruption Grozny Group in Kuril Is at: 29 Mar 2013 12:00.,Green,1,Green,0,Kuril Is,3/29/2013,2013-03-29T12:00:00,0,TOKYO,   ,VO,VO 272,Grozny Group (),No people affected,,
VO_UNK_20130328_15,"[-71.45, -37.916666]",Green Eruption Callaqui in Chile-C at: 28 Mar 2013 17:40.,Green,1,Green,0,Chile-C,3/28/2013,2013-03-28T17:40:00,0,BUENOS AIRES,   ,VO,VO 469,Callaqui (),No people affected,,
VO_UNK_20130628_16,"[161.36, 56.653333]",Green Eruption Shiveluch in Kamchatka at: 28 Jun 2013 01:00.,Green,1,Green,1,Kamchatka,6/28/2013,2013-06-28T01:00:00,0,TOKYO,   ,VO,VO 316,Shiveluch (),No people affected,,
VO_UNK_20130627_17,"[-161.8875, 55.416666]",Green Eruption Pavlof in Alaska Peninsula at: 27 Jun 2013 20:10.,Green,1,Green,0,Alaska Peninsula,6/27/2013,2013-06-27T20:10:00,0,ANCHORAGE,   ,VO,VO 343,Pavlof (),No people affected,,
VO_UNK_20130622_18,"[145.037222, -4.08]",Orange Eruption Manam in New Guinea-NE of at: 22 Jun 2013 17:30.,Orange,2,Orange,2,New Guinea-NE of,6/22/2013,2013-06-22T17:30:00,0,DARWIN,   ,VO,VO 75,Manam (),No people affected,,
VO_IDN_20171126_19,"[115.51, -8.34]",Orange Eruption Agung in Indonesia at: 26 Nov 2017 18:00.,Orange,2,Orange,1.927940019,Indonesia,11/26/2017,2017-11-26T18:00:00,0,VAAC,IDN,VO,VO 509,Agung (),No people affected,,
VO_USA_20180504_20,"[-155.286762, 19.421097]",Orange Eruption Kilauea in United States at: 28 May 2018 06:00.,Orange,2,ORANGE,1.5,United States,5/4/2018,2018-05-28T06:00:00,0,VAAC,USA,VO,VO 511,Kilauea (332010),No people affected,,
VO_IDN_20190611_21,"[98.392, 3.17]",Green Eruption Sinabung in Indonesia at: 14 Aug 2020 00:00.,Green,1,Green,0.5,Indonesia,6/11/2019,2020-08-14T00:00:00,0,DARWIN,IDN,VO,VO 261080,Sinabung (),About 8200000 people within 100km,2,5
VO_PER_20190617_22,"[-71.857, -15.787]",Green Eruption Sabancaya in Peru at: 29 Jun 2020 00:00.,Green,1,Green,0.5,Peru,6/17/2019,2020-06-29T00:00:00,0,BUENOS AIRES,PER,VO,VO 354006,Sabancaya (),About 1090000 people within 100km,3,3
VO_PNG_20190618_23,"[145.037, -4.08]",Green Eruption Manam in Papua New Guinea at: 27 Mar 2020 00:00.,Green,1,Green,0.5,Papua New Guinea,6/18/2019,2020-03-27T00:00:00,0,JRC,PNG,VO,VO 251020,Manam (),About 200000 people within 100km,4,3
VO_REU_20190611_24,"[55.708, -21.244]","Green Eruption Fournaise, Piton de la in France at: 25 Oct 2019 00:00.",Green,1,Green,0.5,France,6/11/2019,2019-10-25T00:00:00,0,TOULOUSE,REU,VO,VO 233020,"Fournaise, Piton de la ()",About 850000 people within 100km,5,5
VO_PNG_20190627_25,"[151.33, -5.05]",Green Eruption Ulawun in Papua New Guinea at: 01 Oct 2019 00:00.,Green,1,Green,0.5,Papua New Guinea,6/27/2019,2019-10-01T00:00:00,0,DARWIN,PNG,VO,VO 252120,Ulawun (),About 87000 people within 100km,4,2
VO_ITA_20190719_26,"[14.999, 37.748]",Green Eruption Etna in Italy at: 28 Aug 2020 00:00.,Green,1,Green,0.5,Italy,7/19/2019,2020-08-28T00:00:00,0,TOULOUSE,ITA,VO,VO 211060,Etna (),About 2750000 people within 100km,5,5
VO_IDN_20190611_27,"[98.392, 3.17]",Green Eruption Sinabung in Indonesia at: 14 Aug 2020 00:00.,Green,1,Green,0.5,Indonesia,6/11/2019,2020-08-14T00:00:00,0,DARWIN,IDN,VO,VO 261080,Sinabung (),About 8200000 people within 100km,2,5
VO_ITA_20190703_28,"[15.213, 38.789]",Green Eruption Stromboli in Italy at: 20 Jul 2020 00:00.,Green,1,Green,0.5,Italy,7/3/2019,2020-07-20T00:00:00,0,JRC,ITA,VO,VO 211040,Stromboli (),About 1000000 people within 100km,3,3
VO_PER_20190617_29,"[-71.857, -15.787]",Green Eruption Sabancaya in Peru at: 29 Jun 2020 00:00.,Green,1,Green,0.5,Peru,6/17/2019,2020-06-29T00:00:00,0,BUENOS AIRES,PER,VO,VO 354006,Sabancaya (),About 1090000 people within 100km,3,3
VO_PNG_20190618_30,"[145.037, -4.08]",Green Eruption Manam in Papua New Guinea at: 27 Mar 2020 00:00.,Green,1,Green,0.5,Papua New Guinea,6/18/2019,2020-03-27T00:00:00,0,JRC,PNG,VO,VO 251020,Manam (),About 200000 people within 100km,4,3
VO_MEX_20190726_31,"[-98.622, 19.023]",Green Eruption Popocatepetl in Mexico at: 23 Feb 2020 00:00.,Green,1,Green,0.5,Mexico,7/26/2019,2020-02-23T00:00:00,0,WASHINGTON,MEX,VO,VO 341090,Popocatepetl (),About 27990000 people within 100km,5,5
VO_REU_20190611_32,"[55.708, -21.244]","Green Eruption Fournaise, Piton de la in France at: 25 Oct 2019 00:00.",Green,1,Green,0.5,France,6/11/2019,2019-10-25T00:00:00,0,TOULOUSE,REU,VO,VO 233020,"Fournaise, Piton de la ()",About 850000 people within 100km,5,5
VO_PNG_20190627_33,"[151.33, -5.05]",Green Eruption Ulawun in Papua New Guinea at: 01 Oct 2019 00:00.,Green,1,Green,0.5,Papua New Guinea,6/27/2019,2019-10-01T00:00:00,0,DARWIN,PNG,VO,VO 252120,Ulawun (),About 87000 people within 100km,4,2
VO_ITA_20190719_34,"[14.999, 37.748]",Green Eruption Etna in Italy at: 28 Aug 2020 00:00.,Green,1,Green,0.5,Italy,7/19/2019,2020-08-28T00:00:00,0,TOULOUSE,ITA,VO,VO 211060,Etna (),About 2750000 people within 100km,5,5
VO_IDN_20190611_35,"[98.392, 3.17]",Green Eruption Sinabung in Indonesia at: 14 Aug 2020 00:00.,Green,1,Green,0.5,Indonesia,6/11/2019,2020-08-14T00:00:00,0,DARWIN,IDN,VO,VO 261080,Sinabung (),About 8200000 people within 100km,2,5
VO_ITA_20190703_36,"[15.213, 38.789]",Green Eruption Stromboli in Italy at: 20 Jul 2020 00:00.,Green,1,Green,0.5,Italy,7/3/2019,2020-07-20T00:00:00,0,JRC,ITA,VO,VO 211040,Stromboli (),About 1000000 people within 100km,3,3
VO_PER_20190617_37,"[-71.857, -15.787]",Green Eruption Sabancaya in Peru at: 29 Jun 2020 00:00.,Green,1,Green,0.5,Peru,6/17/2019,2020-06-29T00:00:00,0,BUENOS AIRES,PER,VO,VO 354006,Sabancaya (),About 1090000 people within 100km,3,3
VO_IDN_20190801_38,"[105.423, -6.102]",Green Eruption Krakatau in Indonesia at: 13 Apr 2020 00:00.,Green,1,Green,0.5,Indonesia,8/1/2019,2020-04-13T00:00:00,0,DARWIN,IDN,VO,VO 262000,Krakatau (),About 7380000 people within 100km,6,4
VO_PNG_20190618_39,"[145.037, -4.08]",Green Eruption Manam in Papua New Guinea at: 27 Mar 2020 00:00.,Green,1,Green,0.5,Papua New Guinea,6/18/2019,2020-03-27T00:00:00,0,JRC,PNG,VO,VO 251020,Manam (),About 200000 people within 100km,4,3
VO_MEX_20190726_40,"[-98.622, 19.023]",Green Eruption Popocatepetl in Mexico at: 23 Feb 2020 00:00.,Green,1,Green,0.5,Mexico,7/26/2019,2020-02-23T00:00:00,0,WASHINGTON,MEX,VO,VO 341090,Popocatepetl (),About 27990000 people within 100km,5,5
VO_REU_20190611_41,"[55.708, -21.244]","Green Eruption Fournaise, Piton de la in France at: 25 Oct 2019 00:00.",Green,1,Green,0.5,France,6/11/2019,2019-10-25T00:00:00,0,TOULOUSE,REU,VO,VO 233020,"Fournaise, Piton de la ()",About 850000 people within 100km,5,5
VO_PNG_20190627_42,"[151.33, -5.05]",Green Eruption Ulawun in Papua New Guinea at: 01 Oct 2019 00:00.,Green,1,Green,0.5,Papua New Guinea,6/27/2019,2019-10-01T00:00:00,0,DARWIN,PNG,VO,VO 252120,Ulawun (),About 87000 people within 100km,4,2
VO_ITA_20190719_43,"[14.999, 37.748]",Green Eruption Etna in Italy at: 28 Aug 2020 00:00.,Green,1,Green,0.5,Italy,7/19/2019,2020-08-28T00:00:00,0,TOULOUSE,ITA,VO,VO 211060,Etna (),About 2750000 people within 100km,5,5
VO_IDN_20190611_44,"[98.392, 3.17]",Green Eruption Sinabung in Indonesia at: 14 Aug 2020 00:00.,Green,1,Green,0.5,Indonesia,6/11/2019,2020-08-14T00:00:00,0,DARWIN,IDN,VO,VO 261080,Sinabung (),About 8200000 people within 100km,2,5
VO_ITA_20190703_45,"[15.213, 38.789]",Green Eruption Stromboli in Italy at: 20 Jul 2020 00:00.,Green,1,Green,0.5,Italy,7/3/2019,2020-07-20T00:00:00,0,JRC,ITA,VO,VO 211040,Stromboli (),About 1000000 people within 100km,3,3
VO_PER_20190617_46,"[-71.857, -15.787]",Green Eruption Sabancaya in Peru at: 29 Jun 2020 00:00.,Green,1,Green,0.5,Peru,6/17/2019,2020-06-29T00:00:00,0,BUENOS AIRES,PER,VO,VO 354006,Sabancaya (),About 1090000 people within 100km,3,3
VO_IDN_20190801_47,"[105.423, -6.102]",Green Eruption Krakatau in Indonesia at: 13 Apr 2020 00:00.,Green,1,Green,0.5,Indonesia,8/1/2019,2020-04-13T00:00:00,0,DARWIN,IDN,VO,VO 262000,Krakatau (),About 7380000 people within 100km,6,4
