disaster_id,coordinates,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,Death,Displaced,GDACS_ID
FL_MOZ_20000126_2,"[31.712, -27.822]",ORANGE Flood in Mozambique from: 26 Jan 2000 00 to: 27 Mar 2000 23.,ORANGE,2,ORANGE,2,Mozambique,1/26/2000,2000-03-27T23:59:59,7.74,DFO,MOZ,FL,929,733000,FL 1583
FL_PHL_20000128_3,"[126.1, 7.199]",GREEN Flood in Philippines from: 28 Jan 2000 00 to: 01 Feb 2000 23.,GREEN,1,GREEN,1,Philippines ,1/28/2000,2000-02-01T23:59:59,4.92,DFO,PHL,FL,23,20000,FL 1584
FL_AGO_20000108_4,"[13.246, -14.145]",GREEN Flood in Angola from: 08 Jan 2000 00 to: 15 Jan 2000 23.,GREEN,1,GREEN,1,Angola,1/8/2000,2000-01-15T23:59:59,5.58,DFO,AGO,FL,31,70000,FL 1582
FL_UNK_20000101_5,"[-49.304, -24.891]",ORANGE Flood in Southeastern Brazil from: 01 Jan 2000 00 to: 01 Jan 2000 00.,ORANGE,2,Orange,2,Southeastern Brazil  ,1/1/2000,2000-01-01T00:00:00,6.55,DFO,   ,FL,40,100000,FL 1581
FL_MOZ_20000126_6,"[31.712, -27.822]",ORANGE Flood in Mozambique from: 26 Jan 2000 00 to: 27 Mar 2000 23.,ORANGE,2,ORANGE,2,Mozambique,1/26/2000,2000-03-27T23:59:59,7.74,DFO,MOZ,FL,929,733000,FL 1583
FL_MDG_20000217_7,"[47.296, -15.783]",RED Flood in Madagascar from: 17 Feb 2000 00 to: 11 Mar 2000 23.,RED,3,RED,3,Madagascar,2/17/2000,2000-03-11T23:59:59,6.79,DFO,MDG,FL,200,800000,FL 1587
FL_AUS_20000218_8,"[143.698, -31.268]",GREEN Flood in Australia from: 18 Feb 2000 00 to: 01 Mar 2000 23.,GREEN,1,GREEN,1,Australia ,2/18/2000,2000-03-01T23:59:59,7.09,DFO,AUS,FL,1,200,FL 1586
FL_USA_20000218_9,"[-83.55, 37.723]",GREEN Flood in USA from: 18 Feb 2000 00 to: 22 Feb 2000 23.,GREEN,1,GREEN,1,USA,2/18/2000,2000-02-22T23:59:59,5.44,DFO,USA,FL,8,40,FL 1585
FL_PHL_20000128_10,"[126.1, 7.199]",GREEN Flood in Philippines from: 28 Jan 2000 00 to: 01 Feb 2000 23.,GREEN,1,GREEN,1,Philippines ,1/28/2000,2000-02-01T23:59:59,4.92,DFO,PHL,FL,23,20000,FL 1584
FL_USA_20000329_11,"[-99.931, 33.739]",GREEN Flood in USA from: 29 Mar 2000 00 to: 31 Mar 2000 23.,GREEN,1,GREEN,1,USA,3/29/2000,2000-03-31T23:59:59,4.86,DFO,USA,FL,3,-,FL 1594
FL_MOZ_20000126_12,"[31.712, -27.822]",ORANGE Flood in Mozambique from: 26 Jan 2000 00 to: 27 Mar 2000 23.,ORANGE,2,ORANGE,2,Mozambique,1/26/2000,2000-03-27T23:59:59,7.74,DFO,MOZ,FL,929,733000,FL 1583
FL_ARG_20000309_13,"[-64.907, -27.17]",GREEN Flood in Argentina from: 09 Mar 2000 00 to: 17 Mar 2000 23.,GREEN,1,GREEN,1,Argentina,3/9/2000,2000-03-17T23:59:59,6.85,DFO,ARG,FL,7,15000,FL 1591
FL_CZE_20000309_14,"[17.944, 49.244]",GREEN Flood in Czech Republic from: 09 Mar 2000 00 to: 11 Mar 2000 23.,GREEN,1,GREEN,1,Czech Republic,3/9/2000,2000-03-11T23:59:59,4.69,DFO,CZE,FL,2,-,FL 1592
FL_AUS_20000306_15,"[119.171, -23.525]",GREEN Flood in Australia from: 06 Mar 2000 00 to: 11 Mar 2000 23.,GREEN,1,GREEN,1,Australia,3/6/2000,2000-03-11T23:59:59,6.51,DFO,AUS,FL,1,-,FL 1590
FL_MDG_20000217_16,"[47.296, -15.783]",RED Flood in Madagascar from: 17 Feb 2000 00 to: 11 Mar 2000 23.,RED,3,RED,3,Madagascar,2/17/2000,2000-03-11T23:59:59,6.79,DFO,MDG,FL,200,800000,FL 1587
FL_UNK_20000309_17,"[25.646, -32.701]",GREEN Flood in South Africa from: 09 Mar 2000 00 to: 09 Mar 2000 00.,GREEN,1,Green,1,South Africa,3/9/2000,2000-03-09T00:00:00,5.54,DFO,   ,FL,14,-,FL 1593
FL_KHM_20000303_18,"[106.939, 13.719]",GREEN Flood in Cambodia from: 03 Mar 2000 00 to: 04 Mar 2000 23.,GREEN,1,GREEN,1,Cambodia ,3/3/2000,2000-03-04T23:59:59,4.39,DFO,KHM,FL,3,-,FL 1588
FL_ZMB_20000303_19,"[28.848, -16.528]",GREEN Flood in Zambia from: 03 Mar 2000 00 to: 04 Mar 2000 23.,GREEN,1,GREEN,1,Zambia ,3/3/2000,2000-03-04T23:59:59,4.54,DFO,ZMB,FL,0,12000,FL 1589
FL_AUS_20000218_20,"[143.698, -31.268]",GREEN Flood in Australia from: 18 Feb 2000 00 to: 01 Mar 2000 23.,GREEN,1,GREEN,1,Australia ,2/18/2000,2000-03-01T23:59:59,7.09,DFO,AUS,FL,1,200,FL 1586
FL_ROU_20000405_21,"[22.415, 46.764]",GREEN Flood in Romania from: 05 Apr 2000 00 to: 25 Apr 2000 23.,GREEN,1,GREEN,1,Romania,4/5/2000,2000-04-25T23:59:59,6.69,DFO,ROU,FL,10,623,FL 1595
FL_CHN_20000413_22,"[113.381, 22.598]",GREEN Flood in China from: 13 Apr 2000 00 to: 17 Apr 2000 23.,GREEN,1,GREEN,1,China,4/13/2000,2000-04-17T23:59:59,5.02,DFO,CHN,FL,15,-,FL 1596
