disaster_id,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,GDACS ID,People affected,Countries,Duration (days),Burned area
WF_LAO_20210223_2,Green,1,GREEN,1,Laos,2/23/2021,2021-03-23T00:00:00,5070,GWIS,LAO,WF,WF 1000144,0 in the burned area,Laos,28,5070 ha
WF_IND_20210225_3,Green,1,GREEN,1,India,2/25/2021,2021-03-11T00:00:00,9866,GWIS,IND,WF,WF 1000128,35445 in the burned area,India,14,9866 ha
WF_ARG_20210225_4,Green,1,GREEN,1,Argentina,2/25/2021,2021-03-08T00:00:00,5326,GWIS,ARG,WF,WF 1000127,0 in the burned area,Argentina,11,5326 ha
WF_MMR_20210223_5,Green,1,GREEN,1,Myanmar,2/23/2021,2021-03-08T00:00:00,5353,GWIS,MMR,WF,WF 1000143,0 in the burned area,Myanmar,13,5353 ha
WF_IND_20210223_6,Green,1,GREEN,1,India,2/23/2021,2021-03-07T00:00:00,7572,GWIS,IND,WF,WF 1000142,8550 in the burned area,India,12,7572 ha
WF_IND_20210220_7,Green,1,GREEN,1,India,2/20/2021,2021-03-07T00:00:00,5330,GWIS,IND,WF,WF 1000154,0 in the burned area,India,15,5330 ha
WF_IND_20210219_8,Green,1,GREEN,1,India,2/19/2021,2021-03-07T00:00:00,65662,GWIS,IND,WF,WF 1000156,95313 in the burned area,India,16,65662 ha
WF_IND_20210224_9,Green,1,GREEN,1,India,2/24/2021,2021-03-07T00:00:00,21008,GWIS,IND,WF,WF 1000136,0 in the burned area,India,11,21008 ha
WF_IND_20210223_10,Green,1,GREEN,1,India,2/23/2021,2021-03-07T00:00:00,8178,GWIS,IND,WF,WF 1000145,0 in the burned area,India,12,8178 ha
WF_IND_20210227_11,Green,1,GREEN,1,India,2/27/2021,2021-03-07T00:00:00,10690,GWIS,IND,WF,WF 1000107,56605 in the burned area,India,8,10690 ha
WF_IND_20210226_12,Green,1,GREEN,1,India,2/26/2021,2021-03-07T00:00:00,7088,GWIS,IND,WF,WF 1000118,0 in the burned area,India,9,7088 ha
WF_IND_20210226_13,Green,1,GREEN,1,India,2/26/2021,2021-03-07T00:00:00,9668,GWIS,IND,WF,WF 1000121,0 in the burned area,India,9,9668 ha
WF_IND_20210226_14,Green,1,GREEN,1,India,2/26/2021,2021-03-07T00:00:00,15691,GWIS,IND,WF,WF 1000122,5342 in the burned area,India,9,15691 ha
WF_IND_20210227_15,Green,1,GREEN,1,India,2/27/2021,2021-03-07T00:00:00,7068,GWIS,IND,WF,WF 1000109,20453 in the burned area,India,8,7068 ha
WF_IND_20210227_16,Green,1,GREEN,1,India,2/27/2021,2021-03-07T00:00:00,5391,GWIS,IND,WF,WF 1000110,0 in the burned area,India,8,5391 ha
WF_IND_20210226_17,Green,1,GREEN,1,India,2/26/2021,2021-03-07T00:00:00,6185,GWIS,IND,WF,WF 1000111,0 in the burned area,India,9,6185 ha
WF_IND_20210226_18,Green,1,GREEN,1,India,2/26/2021,2021-03-07T00:00:00,5879,GWIS,IND,WF,WF 1000112,3 in the burned area,India,9,5879 ha
WF_IND_20210226_19,Green,1,GREEN,1,India,2/26/2021,2021-03-07T00:00:00,5377,GWIS,IND,WF,WF 1000113,185 in the burned area,India,9,5377 ha
WF_IND_20210226_20,Green,1,GREEN,1,India,2/26/2021,2021-03-07T00:00:00,24499,GWIS,IND,WF,WF 1000114,14839 in the burned area,India,9,24499 ha
WF_IND_20210226_21,Green,1,GREEN,1,India,2/26/2021,2021-03-05T00:00:00,5040,GWIS,IND,WF,WF 1000115,0 in the burned area,India,7,5040 ha
WF_IND_20210226_22,Green,1,GREEN,1,India,2/26/2021,2021-03-05T00:00:00,5122,GWIS,IND,WF,WF 1000116,3470 in the burned area,India,7,5122 ha
WF_IND_20210226_23,Green,1,GREEN,1,India,2/26/2021,2021-03-05T00:00:00,5524,GWIS,IND,WF,WF 1000117,0 in the burned area,India,7,5524 ha
WF_IND_20210226_24,Green,1,GREEN,1,India,2/26/2021,2021-03-05T00:00:00,13310,GWIS,IND,WF,WF 1000123,6461 in the burned area,India,7,13310 ha
WF_COD_20210225_25,Green,1,GREEN,1,The Democratic Republic of Congo,2/25/2021,2021-03-05T00:00:00,5376,GWIS,COD,WF,WF 1000124,1766 in the burned area,The Democratic Republic of Congo,8,5376 ha
WF_COD_20210227_26,Green,1,GREEN,1,The Democratic Republic of Congo,2/27/2021,2021-03-05T00:00:00,5071,GWIS,COD,WF,WF 1000108,6909 in the burned area,The Democratic Republic of Congo,6,5071 ha
WF_CAF_20210225_27,Green,1,GREEN,1,"Central African Republic, The Democratic Republic of Congo",2/25/2021,2021-03-05T00:00:00,6619,GWIS,CAF,WF,WF 1000129,739 in the burned area,"Central African Republic, The Democratic Republic of Congo",8,6619 ha
WF_COD_20210225_28,Green,1,GREEN,1,The Democratic Republic of Congo,2/25/2021,2021-03-05T00:00:00,5250,GWIS,COD,WF,WF 1000130,785 in the burned area,The Democratic Republic of Congo,8,5250 ha
WF_IND_20210225_29,Green,1,GREEN,1,India,2/25/2021,2021-03-05T00:00:00,9826,GWIS,IND,WF,WF 1000131,0 in the burned area,India,8,9826 ha
WF_IND_20210224_30,Green,1,GREEN,1,India,2/24/2021,2021-03-05T00:00:00,5340,GWIS,IND,WF,WF 1000132,3610 in the burned area,India,9,5340 ha
WF_IND_20210224_31,Green,1,GREEN,1,India,2/24/2021,2021-03-05T00:00:00,6063,GWIS,IND,WF,WF 1000133,0 in the burned area,India,9,6063 ha
WF_IND_20210224_32,Green,1,GREEN,1,India,2/24/2021,2021-03-05T00:00:00,13903,GWIS,IND,WF,WF 1000134,22150 in the burned area,India,9,13903 ha
WF_COD_20210224_33,Green,1,GREEN,1,The Democratic Republic of Congo,2/24/2021,2021-03-05T00:00:00,7690,GWIS,COD,WF,WF 1000135,0 in the burned area,The Democratic Republic of Congo,9,7690 ha
WF_COD_20210222_34,Green,1,GREEN,1,The Democratic Republic of Congo,2/22/2021,2021-03-05T00:00:00,5857,GWIS,COD,WF,WF 1000146,4348 in the burned area,The Democratic Republic of Congo,11,5857 ha
WF_IND_20210222_35,Green,1,GREEN,1,India,2/22/2021,2021-03-05T00:00:00,8127,GWIS,IND,WF,WF 1000147,0 in the burned area,India,11,8127 ha
WF_COD_20210222_36,Green,1,GREEN,1,The Democratic Republic of Congo,2/22/2021,2021-03-05T00:00:00,10113,GWIS,COD,WF,WF 1000148,724 in the burned area,The Democratic Republic of Congo,11,10113 ha
WF_COD_20210222_37,Green,1,GREEN,1,The Democratic Republic of Congo,2/22/2021,2021-03-05T00:00:00,7004,GWIS,COD,WF,WF 1000149,2535 in the burned area,The Democratic Republic of Congo,11,7004 ha
