disaster_id,coordinates,htmldescription,alertlevel,alertscore,episodealertlevel,episodealertscore,fromdate,todate,severity,source,iso3,eventtype,GDACS ID,Name,Exposed countries,Exposed population,Maximum wind speed,Vulnerability
TC_UNK_20080428_2,"[97.5, 18.299999237]",Red Tropical Cyclone NARGIS-08 off-shore from: 28 Apr 2008  to: 03 May 2008 .,Red,3,Green,1,4/28/2008,2008-05-03T12:00:00,74.029824,JTWC,   ,TC,TC 10238,NARGIS-08,Off-shore,7 million  in Category 1 or higher,74 km/h Tropical storm,-- ()
TC_UNK_20110522_3,"[136.600000000219, 34.3999999997814]",Orange Tropical Cyclone SONGDA-11 in Japan from: 22 May 2011  to: 29 May 2011 .,Orange,2,Green,1,5/22/2011,2011-05-29T12:00:00,64.37376,JRC,   ,TC,TC 24054,SONGDA-11,Japan,No people  in Category 1 or higher,64 km/h Tropical storm,Low ()
TC_UNK_20110728_4,"[124.899999999781, 40.2999999995609]",Green Tropical Cyclone MUIFA-11 in Japan from: 28 Jul 2011  to: 08 Aug 2011 .,Green,1,Green,1,7/28/2011,2011-08-08T12:00:00,286.463232,JRC,   ,TC,TC 25110,MUIFA-11,Japan,1.2 million  in Category 1 or higher,286 km/h Category 5,Low ()
TC_UNK_20110731_5,"[-127.100000000219, 18.8999999997814]",Green Tropical Cyclone EUGENE-11 off-shore from: 31 Jul 2011  to: 06 Aug 2011 .,Green,1,Green,1,7/31/2011,2011-08-06T09:00:00,222.089472,JRC,   ,TC,TC 25192,EUGENE-11,Off-shore,No people  in Category 1 or higher,222 km/h Category 4,-- ()
TC_UNK_20110726_6,"[105.5, 19.1000000002186]","Green Tropical Cyclone NOCK-TEN-11 in Philippines,China,Vietnam from: 26 Jul 2011  to: 30 Jul 2011 .",Green,1,Green,1,7/26/2011,2011-07-30T12:00:00,120.7008,JRC,   ,TC,TC 25101,NOCK-TEN-11,"Philippines,China,Vietnam",No people  in Category 1 or higher,121 km/h Category 1,High ()
TC_UNK_20110727_7,"[-97.5, 27.2000000004391]","Green Tropical Cyclone DON-11 in Mexico,United States from: 27 Jul 2011  to: 30 Jul 2011 .",Green,1,Green,1,7/27/2011,2011-07-30T03:00:00,101.388672,JRC,   ,TC,TC 25153,DON-11,"Mexico,United States",No people  in Category 1 or higher,101 km/h Tropical storm,Medium ()
TC_UNK_20110718_8,"[-114.200000000439, 23.5]",Green Tropical Cyclone DORA-11 in Mexico from: 18 Jul 2011  to: 24 Jul 2011 .,Green,1,Green,1,7/18/2011,2011-07-24T15:00:00,204.386688,JRC,   ,TC,TC 25008,DORA-11,Mexico,No people  in Category 1 or higher,204 km/h Category 3,Medium ()
TC_CAN_20110830_9,"[-53.3999999997814, 43.2999999995609]","Green Tropical Cyclone KATIA-11 in Canada,St. Pierre  and  Miquelon,Faroe Is.,United Kingdom,Ireland,Isle of Man from: 30 Aug 2011  to: 10 Sep 2011 .",Green,1,Green,1,8/30/2011,2011-09-10T09:00:00,212.433408,JRC,CAN,TC,TC 25669,KATIA-11,"Canada,St. Pierre & Miquelon,Faroe Is.,United Kingdom,Ireland,Isle of Man",No people  in Category 1 or higher,212 km/h Category 4,Low (Canada)
TC_JPN_20110825_10,"[134.5, 37.0]",Green Tropical Cyclone TALAS-11 in Japan from: 25 Aug 2011  to: 04 Sep 2011 .,Green,1,Green,1,8/25/2011,2011-09-04T00:00:00,175.418496,JRC,JPN,TC,TC 25618,TALAS-11,Japan,No people  in Category 1 or higher,175 km/h Category 2,Low (Japan)
TC_CHN_20110823_11,"[118.700000000439, 24.8999999997814]","Orange Tropical Cyclone NANMADOL-11 in China,Philippines from: 23 Aug 2011  to: 31 Aug 2011 .",Orange,2,Green,1,8/23/2011,2011-08-31T00:00:00,268.760448,JRC,CHN,TC,TC 25577,NANMADOL-11,"China,Philippines",1.4 million  in Category 1 or higher,269 km/h Category 5,Medium (China)
